date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:25	865/865	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:fe8face7c3a05a0162dd72fbb4c09592%22	https://satxbakery.com/robots.txt		(from )
18:49:26	268723/268723	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:11c77559074263433ea4646209854390%22	https://satxbakery.com/	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/index.html	(from )
18:49:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Sep%202025%2023:49:27%20GMT	http://satxbakery.com/cdn/shop/t/7/assets/constants.js?v=132983761750457495441756475302	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/constants.036bf.delayed	(from https://satxbakery.com/)
18:49:26	258/258	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2029%20Aug%202025%2013:48:45%20GMT	https://satxbakery.com/cdn/shop/t/7/assets/constants.js?v=132983761750457495441756475302	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/constants36bf.js	(from https://satxbakery.com/)
18:49:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Sep%202025%2023:49:27%20GMT	http://satxbakery.com/cdn/shop/t/7/assets/pubsub.js?v=25310214064522200911756475303	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/pubsubcff4.js	(from https://satxbakery.com/)
18:49:26	546/546	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2029%20Aug%202025%2013:48:45%20GMT	https://satxbakery.com/cdn/shop/t/7/assets/pubsub.js?v=25310214064522200911756475303	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/pubsubcff4.js	(from https://satxbakery.com/)
18:49:27	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Sep%202025%2023:49:28%20GMT	http://satxbakery.com/cdn/shop/t/7/assets/global.js?v=7301445359237545521756475302	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/global2953.js	(from https://satxbakery.com/)
18:49:27	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Sep%202025%2023:49:28%20GMT	http://satxbakery.com/cdn/shop/t/7/assets/details-disclosure.js?v=13653116266235556501756475302	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/details-disclosuree50e.js	(from https://satxbakery.com/)
18:49:27	33932/33932	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2029%20Aug%202025%2023:40:00%20GMT	https://satxbakery.com/cdn/shop/t/7/assets/global.js?v=7301445359237545521756475302	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/global2953.js	(from https://satxbakery.com/)
18:49:27	1440/1440	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2029%20Aug%202025%2013:48:45%20GMT	https://satxbakery.com/cdn/shop/t/7/assets/details-disclosure.js?v=13653116266235556501756475302	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/details-disclosuree50e.js	(from https://satxbakery.com/)
18:49:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Sep%202025%2023:49:29%20GMT	http://satxbakery.com/cdn/shop/t/7/assets/details-modal.js?v=25581673532751508451756475302	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/details-modal414d.js	(from https://satxbakery.com/)
18:49:28	1554/1554	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2029%20Aug%202025%2013:48:45%20GMT	https://satxbakery.com/cdn/shop/t/7/assets/details-modal.js?v=25581673532751508451756475302	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/details-modal414d.js	(from https://satxbakery.com/)
18:49:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Sep%202025%2023:49:29%20GMT	http://satxbakery.com/cdn/shop/t/7/assets/search-form.js?v=133129549252120666541756475303	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/search-formed44.js	(from https://satxbakery.com/)
18:49:28	994/994	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2029%20Aug%202025%2013:48:45%20GMT	https://satxbakery.com/cdn/shop/t/7/assets/search-form.js?v=133129549252120666541756475303	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/search-formed44.js	(from https://satxbakery.com/)
18:49:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Sep%202025%2023:49:30%20GMT	http://satxbakery.com/cdn/shop/t/7/assets/animations.js?v=88693664871331136111756475302	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/animationsad9d.js	(from https://satxbakery.com/)
18:49:29	2929/2929	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2029%20Aug%202025%2013:48:45%20GMT	https://satxbakery.com/cdn/shop/t/7/assets/animations.js?v=88693664871331136111756475302	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shop/t/7/assets/animationsad9d.js	(from https://satxbakery.com/)
18:49:29	4040/4040	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2003%20Sep%202025%2023:49:30%20GMT	https://satxbakery.com/checkouts/internal/preloads.js?locale=en-US	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/checkouts/internal/preloadsc494.js	(from https://satxbakery.com/)
18:49:29	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Sep%202025%2023:49:30%20GMT	http://satxbakery.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_tsLm3wdj.en.esm.js	C:/Users/Triggering%20Studios/bakerysite_mirror/satxbakery.com/cdn/shopifycloud/shop-js/modules/v2/client.init-shop-cart-sync_tsLm3wdj.en.esm.js	(from https://satxbakery.com/)
